a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
주엽역 로또판매점,경기 고양시 일산서구 중앙로 1437 도로,경기 고양시 일산서구 중앙로 1437 도로,126.7605012,37.6700531,정좌표,4.12871E+18,새주소,경기도 고양시 일산서구 중앙로 1437,경기도 고양시 일산서구 주엽동 109,10387,4128756000,주엽2동,4128710200,주엽동
미라클로또,경기 화성시 행정죽전로1길 29 102호,경기 화성시 행정죽전로1길 29 102호,126.9213548,37.1257285,정좌표,4.15903E+18,새주소,경기도 화성시 향남읍 행정죽전로1길 29,경기도 화성시 향남읍 행정리 495-4,18602,4159025900,향남읍,4159025939,향남읍 행정리
D-마트 담배,강원 속초시 조양상가길 25 롯데마트속초점 1층 복권판매점,강원 속초시 조양상가길 25 롯데마트속초점 1층 복권판매점,128.579957,38.1902093,정좌표,5.12101E+18,새주소,강원특별자치도 속초시 조양상가길 25,강원특별자치도 속초시 조양동 1498-2,24874,5121058000,조양동,5121010800,조양동
알리바이금당점,전남 순천시 대석길 44,전남 순천시 대석길 44,127.52628,34.9456481,정좌표,4.61501E+18,새주소,전라남도 순천시 대석길 44,전라남도 순천시 연향동 1505-5,57987,4615057000,덕연동,4615011400,연향동
노다지복권방거창점,경남 거창군 중앙로 108-1,경남 거창군 중앙로 108-1,127.9102994,35.6860777,정좌표,4.88803E+18,새주소,경상남도 거창군 거창읍 중앙로 108-1,경상남도 거창군 거창읍 상림리 134-12,50139,4888025000,거창읍,4888025021,거창읍 상림리
74호종합가판,서울 종로구 청계천로 111 가판,서울 종로구 청계천로 111 가판,126.9898832,37.5684331,정좌표,1.11102E+18,새주소,서울특별시 종로구 청계천로 111,서울특별시 종로구 관수동 149-2,3192,1111061500,종로1.2.3.4가동,1111015500,관수동
도시복권,대구 달서구 조암로 62 1층 103호,대구 달서구 조암로 62 1층 103호,128.5233626,35.8239059,정좌표,2.72901E+18,새주소,대구광역시 달서구 조암로 62,대구광역시 달서구 월성동 1423,42754,2729060100,월성1동,2729012000,월성동
럭키로또카페,경기 광주시 회안대로 13 매산제일교회 건물 1층,경기 광주시 회안대로 13 매산제일교회 건물 1층,127.2458972,37.3565765,정좌표,4.16101E+18,새주소,경기도 광주시 회안대로 13,경기도 광주시 매산동 746-8,12798,4161059000,오포2동,4161011900,매산동
로또 복권방,경기 양주시 칠봉산로 195-7 102호(봉양동),경기 양주시 칠봉산로 195-7 102호(봉양동),127.0775134,37.8517919,정좌표,4.16301E+18,새주소,경기도 양주시 칠봉산로 195-7,경기도 양주시 봉양동 376-1,11448,4163053000,회천1동,4163011100,봉양동
북부상회,전남 광양시 인덕로 1082,전남 광양시 인덕로 1082,127.5830497,34.9793094,정좌표,4.62303E+18,새주소,전라남도 광양시 광양읍 인덕로 1082,전라남도 광양시 광양읍 칠성리 901-2,57741,4623025000,광양읍,4623025023,광양읍 칠성리
에이스로또,전남 여수시 여서로 154 참마트내,전남 여수시 여서로 154 참마트내,127.6986102,34.7481423,정좌표,4.61301E+18,새주소,전라남도 여수시 여서로 154,전라남도 여수시 여서동 490-3,59705,4613070000,여서동,4613011900,여서동
불국사명당복권,경북 경주시 산업로 3033,경북 경주시 산업로 3033,129.2981243,35.776433,정좌표,4.71301E+18,새주소,경상북도 경주시 산업로 3033,경상북도 경주시 구정동 631-16,38129,4713065000,불국동,4713013100,구정동
돈벼락맞는곳 로또점,경남 김해시 선천로 117 복권판매점,경남 김해시 선천로 117 복권판매점,128.8451764,35.2344467,정좌표,4.82503E+18,새주소,경상남도 김해시 주촌면 선천로 117,경상남도 김해시 주촌면 선지리 670-20,50887,4825032000,주촌면,4825032021,주촌면 선지리
제주 일번가,제주 제주시 하귀로23길 1,제주 제주시 하귀로23길 1,126.4030177,33.4800331,정좌표,5.01103E+18,새주소,제주특별자치도 제주시 애월읍 하귀로23길 1,제주특별자치도 제주시 애월읍 하귀2리 1884-3,63051,5011025300,애월읍,5011025341,애월읍 하귀2리
헬스프라자,서울 관악구 관악로 184 1층,서울 관악구 관악로 184 1층,126.9532222,37.4815237,정좌표,1.16201E+18,새주소,서울특별시 관악구 관악로 184,서울특별시 관악구 봉천동 858-9,8738,1162057500,행운동,1162010100,봉천동
삼육구,부산 사하구 낙동대로 236 내제조표17445호,부산 사하구 낙동대로 236 내제조표17445호,128.9911851,35.0997798,정좌표,2.63801E+18,새주소,부산광역시 사하구 낙동대로 236,부산광역시 사하구 괴정동 932-11,49341,2638051000,괴정1동,2638010100,괴정동
목인,경기 고양시 일산동구 장항로 127 B동,경기 고양시 일산동구 장항로 127 B동,126.7824531,37.6349081,(무료버전 위치정밀도 제한)정좌표,41285,새주소,경기도 고양시 일산동구 장항로 127,경기도 고양시 일산동구 백석동 1098,10432,4128558000,장항1동,4128510600,백석동
(I.A) 로또마트,경기 안산시 단원구 신길로 9-4,경기 안산시 단원구 신길로 9-4,126.7864649,37.3314634,정좌표,4.12731E+18,새주소,경기도 안산시 단원구 신길로 9-4,경기도 안산시 단원구 신길동 1633,15402,4127356500,신길동,4127310300,신길동
행운이가득한집,경기 안산시 상록구 건건로 28 동호상가B-14호,경기 안산시 상록구 건건로 28 동호상가B-14호,126.9014689,37.303735,정좌표,4.12711E+18,새주소,경기도 안산시 상록구 건건로 28,경기도 안산시 상록구 건건동 927-9,15521,4127160000,반월동,4127111100,건건동
행운로또복권방,경기 안양시 동안구 관악대로 348,경기 안양시 동안구 관악대로 348,126.9616606,37.4035759,정좌표,4.11731E+18,새주소,경기도 안양시 동안구 관악대로 348,경기도 안양시 동안구 관양동 1450-26,13946,4117355200,관양동,4117310200,관양동
아랑 로또,경기 양평군 다문북길 69 1층,경기 양평군 다문북길 69 1층,127.5911539,37.4863184,정좌표,4.18304E+18,새주소,경기도 양평군 용문면 다문북길 69,경기도 양평군 용문면 다문리 639-4,12515,4183040000,용문면,4183040024,용문면 다문리
Letsgo복권방(동산점),전북 전주시 덕진구 쪽구름로 57-1,전북 전주시 덕진구 쪽구름로 57-1,127.0765315,35.8706097,정좌표,5.21131E+18,새주소,전북특별자치도 전주시 덕진구 쪽구름로 57-1,전북특별자치도 전주시 덕진구 여의동 580-5,54850,5211366500,여의동,5211313000,여의동
